base_appid,dlc_appid,name
1961950,2103330,CHAOS;HEAD NOAH - COSTUME DLC
1948870,2100580,Pierre's Adventures in French - Hint Book
1972710,2100180,Ever Seen a Cat? 2 - Paper Edition + Wallpapers
2077970,2093440,Finding Felicia Adults Only 18+ Patch
1792890,2087870,Dreamy Planet Adult Patch
2020850,2063910,Asteroid - Expansion Pass
1698910,2063201,Hardcore Trivia Giant Quiz Package
1907170,2056260,Adventure in My Head Supporter Pack
1666250,2052890,Circus Electrique - Artbook & Maps
1788850,2052360,你已经猜到结局了吗-创作者扩展与音乐原声
1145330,2052530,Skeleton Crew - Origins Digital Comic
1134150,2025850,X Wars Deluxe - Line Effect DLC
698670,2023230,Scorn: Digital Artbook
2013680,2013712,Kaz's Adventure | Extra Level Pack
1831680,2009180,Waifu Crush - Live 2D (R18)
549260,2001510,Alwa's Awakening The 8-Bit Edition
1240480,1997730,花园魔三国 - 拓展内容  额外剧情
1065310,1997840,Evil West - Wild Wild East Skin Pack
1090670,1996200,Orbi Universo - Ad Astra
1983600,1991800,TYPER GIRL 18+ DLC
1967430,1971250,Ghost Trick: Phantom Detective - Bonus Content
1211930,1967660,Ghost on the Shore - Artbook
1432390,1956100,Sonority Artbook
2023360,2402850,The Last Case of Benedict Fox Art Book
2307690,2396840,Ancient Saga: Vikings Journey - End of the story
704040,2394860,Castle Clicker Screensaver
959860,2392910,The Valiant - Coat of Arms Collection
2331850,2390980,Anime Puzzle Quest - Free Bonus Content
2287220,2386730,F1® Manager 2023: Deluxe Upgrade Pack
1500110,2374050,KNIGHT SLAVE - Additional All-Ages Story & Graphics DLC
1849790,3335150,Uncle Chop's Rocket Shop Deluxe Skin and Artbook
3270680,3333030,Kota`s New Journey - Supporter Pack
2108800,3331800,Synchronicity - Supporter Pack
3321700,3324850,Christmas Fables: The Wishing Store DLC
2736690,3323400,Void Sols Artbook and Hero's Journal
2597350,3319830,The Black Knight Chronicles: The Widow without Time - Crossroads
3148940,3319350,Realm's Crossing - Tilt Five Edition
2982530,3318240,The Shadow Over Cyberspace - Shareware Donation
2906370,3316070,Bright Lord - Bonus Content
305900,3298680,Minigame Game - Arcade Pass
1928540,3421790,Horticular - Frozen Frontier
2985740,3421290,Ocean Planet - Golden Scuba Tank
3287300,3421390,Bit-cremental: Fishistry Color
839850,3416610,Lenin - The Lion Artbook
2838940,3413690,神魔决之江湖行-附加功能
2449710,3414000,Town of Sins - Adult talk
3034580,3413620,Mysteries of Perception - The Curse
3348970,3412750,ARVIS Punch II: Krampus
3173200,3412810,Kuri Kuri Click! ~My Sweet Model!~ - Uncensor DLC
2174500,3404970,Parasite Black - Premium Supporter Pack + Cheats
2449160,3394070,While Waiting: Artbook
3274300,3394230,Awaria: Artbook + Babeczki Recipe
3372040,3386400,NUMANUIN Clicker VIP
3460800,3460850,Hidden Cats: СyberCity
2859600,3368570,Glitch Blaster's Waifu - 18+ Uncensored DLC
1133870,3365540,Space Engineers 2 Pioneer Edition
3006200,3357280,Jerico Proxyma Artbook (collector's edition)
2784330,3352430,EDYN - Founder's Pack
1229240,3350260,Chained Echoes: Ashes of Elrant
1036580,2578730,National Park Girls - Official Artbook
2560050,2560140,The Local - Supporter Package
2362540,2559390,PANDORA - Art and Sound Design
1922620,2558540,Saber Ship - Collection Pack
1919550,2544250,Hidden Cats in Paris - Printable PDF Coloring Book and Poster
1926270,2535550,Juicy Retro Style! - Bloodhound
1383620,2526840,Lifesigns - The Monster
2059170,2522910,Quasimorph - Supporter Pack
690370,2523140,Cantata - Wallpapers
2000090,2521410,The Isle Tide Hotel - 4K Video Pack
2369140,2519960,CyberModu
2359020,2516230,Trail Hogs Player's Guide
2507890,2510530,Cool Lady - Artbook 18+
1366560,2510140,MiLE HiGH TAXi - Race Mode DLC
2506400,2509930,Sweety Sweets - Artbook 18+
2506470,2508800,Hunter Girls - Artbook 18+
2413840,2504280,Cute Capybaras - Digital Artbook + Bonus Videos
1129570,3225390,Industry Giant 4.0 - Digital Supporter Pack
2159210,3224520,Just A To the Moon Series Beach Episode - To the Moon: Bestest Memories
3114680,3216720,War of Warship Practical Gift Pack （无敌舰队 - 扩展包）
2697690,3190920,Space Detective: The Case of the Rebel Robot 18+ Patch
3175700,3175810,月光のソードブレイカー ユリヒメ編 - ギャラリーモード
3112060,3169560,VBR - Creators of the first Dawn
2953160,3165550,Captive: You Are My Idol - Development Journal
2648050,3162640,Sam & Max: The Devil's Playhouse (2010 Original Version)
3095170,3162770,Sunshine Love CH1 Walkthrough
3098370,3161890,Blackjack Of Lust - Android pack
3117160,3158830,叛军大小姐 - 泳装立绘  Nobility girl - swimwear suit
1327920,3293890,Maestro VR - Level Editor
1400320,3292280,그 어느 여름날의 이야기 : 그래픽 리마스터 GRAPHIC REMASTERED
2103510,3286970,Spear Song Artbook
3287020,3287040,Fatrifice 3 Artbook
2957670,3285250,OBSESSION Halloween Pack
1677970,3283470,Railroad Corporation 2 - Subzero Supporter Pack
1011610,2110160,Radio General - Water Rats
2109470,2109480,Wild West Dynasty: The New Hope Gazette - Complete Collection
1567020,2108830,The Dark Pictures Anthology: The Devil in Me - Curator's Cut
1808060,2107240,Obama Maze - Feed the Developer
1958810,2105720,My Bunny Girl 18+ Adult Only Content
1956840,2102370,P R I S M - A Visual Novel Artbook
2079160,2094690,Lust Dungeon - Supporter Art Pack
2021840,2093770,Glyph-Bound Supporter Pass
1051350,2090790,Dead Forest - 18+ Adult Only Content
1196470,2081690,WE ARE FOOTBALL - National Teams
1137100,2080550,Twice Reborn: Walkthrough
2077430,2077480,"Vespa's Test - ""Thank You"" Pack"
1929850,2075380,散落之瓣：華 - 原畫稿
1953490,2074210,Seven Deadly Dates Artbook + Wallpapers
1575470,2071750,Frogun Official Artbook & Manual
1990260,2070370,Phantom Tentacle Free H DLC
1673190,2069130,Bahamut2-dragon's bride-Powerful Pet:Dinosaur
2018340,2064210,Special Gulag Rescue Operation - Nude Supporter Pack
1229880,2062180,Koumajou Remilia Scarlet Symphony Illustration Works 【Reprint】
1891700,2018950,Tap Ninja - Shogun Supporter Pack
1213770,2016850,Blastboard - Casso Plugin
2013060,2013520,FIGHTING GIRL SAKURA-R - HCG PACK
1916480,2012780,Dungeon of Delights - Artbook
1843350,1994290,RUKIMIN's Disappointing Adventure! - Royalty free illustrations
1679880,1992600,Gedaria - Fairytale forest
1800430,1989900,Femdom Waifu VR: Latex Lingerie Pack
1412850,1986610,Spacelines from the Far Out Digital Artbook
1977050,1984750,My Furry Maid - 18+ Adult Only Patch
1977960,1984900,Battlerace Support Package
1348690,1983770,Oaken - Supporter Pack
1916580,1983870,Red Yet Capers: Math vs Mayhem - Expansion Pack
1913490,1971390,Adorable Witch 3 - adult patch
1966870,1969110,Cyber Car - Bridge Sci-Fi Fighter
1811750,1963730,VELONE - Supporter Pack
1386620,1962400,Anuchard - Artbook
1271300,1955400,Methods: The Detective Competition - The Fascinations of Lord Loomy
2050040,2321730,Gigantropolis - Donate to help Developer!
1493640,2317940,Banishers: Ghosts of New Eden - Wanderer Set DLC
2241130,2397960,Chess President - Challenge
2071520,2397580,My Pleasure - Season 2: Advanced Walkthrough
2204040,2395090,Inheritance: Ladeina's Path - Expansion Bundle
671860,2390150,BattleBit Remastered - Supporter Pack 1
876650,2382320,Aground - Backer Items
1850520,2374520,CODE: PANDORA DrmFree
2370060,2374200,Essential Power - Wallpapers
2339020,2367530,Magic City Detective: Rage Under Moon DLC
2305480,2365930,觅光：第一章 - 原画集
2122010,3326240,Rise Of A Hero: Viking Territory
2671320,3323900,Hidden Cats in Tokyo - Printable PDF Coloring Book and Poster
1745690,3319770,Deluge: Threnody of Crashing Waves — Ina After Story
3302680,3306190,MojiCraft - Beast+Critter Expansion
3222660,3304810,"Bye!Den, GO!: The Last Christmas"
3017700,3299930,Porn and Cards - Wallpapers
1679470,3299250,Royal Wars: Farm TD - Supporter's Pack
