appid,name,release_date,copiesSold
3288560,Forgotten Cave: Roguelite Dungeon Crawler,Coming soon,1
3128080,Endless Salvation,Coming soon,1
3307010,Soldiers vs Zombies: Tower Defense,Coming soon,1
3307010,Soldiers vs Zombies: Tower Defense,Coming soon,1
2863770,BAKU+NEKO,Coming soon,1
3430010,The Variant Void,Coming soon,1
3422580,Forest Smasher,To be announced,1
3445720,Drone Dash,Coming soon,1
3457070,TimeParadox,Coming soon,1
3457070,TimeParadox,Coming soon,1
3457730,Area51,Coming soon,1
2258060,The Passengers,Coming soon,1
2808840,MouseWorld,Coming soon,1
2346150,EOL: End Of Line,To be announced,1
3030730,Jasper Redds vs The Ares Belt,Coming soon,1
3291240,Match3 x Tetris,Coming soon,1
3291240,Match3 x Tetris,Coming soon,1
3298230,The Grappler,Coming soon,1
3298230,The Grappler,Coming soon,1
3346790,Ropebound,Coming soon,1
3395750,Pang in Time,Coming soon,1
3394730,risk of rabbit,Coming soon,1
3439010,Clicker Conquest,Coming soon,1
3442240,Red Guest Biography,Coming soon,1
3434620,Spectrum Siege,Coming soon,1
2790270,A Tiny Space Adventure,Coming soon,1
3442660,Love Letters: First Bloom,Coming soon,1
3456880,Pinball Simulator,Coming soon,1
3456880,Pinball Simulator,Coming soon,1
3404160,Portugal Tourism GP!,Coming soon,1
3484360,Interactive Sex - Incest Daughters,Coming soon,1
3489130,MOVE AND DIE,Coming soon,1
3486230,Al Sira,Coming soon,1
3507020,Wild West Simulator,Coming soon,1
3245030,RPG Quiz,Coming soon,1
3225570,The Butterfly Dreams,Coming soon,1
3362140,MIRAGE Episode：1,Coming soon,1
2714340,Pop DS,Coming soon,1
3408820,Vida,Coming soon,1
3401850,Erandique,Coming soon,1
1583600,"one two three, four,",Coming soon,1
3033310,Diving Focus,To be announced,1
3098630,BONLE,Coming soon,1
3297030,Control Room,Coming soon,1
3297030,Control Room,Coming soon,1
3267710,Hungry Monster -Cooking Game,Coming soon,1
3346270,Maximum Chaser : 1001 Squad,Coming soon,1
2704320,Strangeland - The Last Colony,Coming soon,1
3332170,Open Fire,Coming soon,1
3332170,Open Fire,Coming soon,1
3436630,NOX AETERNA - Veil of Darkness,Coming soon,1
3415680,Dating App Simulator,Coming soon,1
3483690,Diligent Ranch,Coming soon,1
3479070,Stainless Steel 2048,Coming soon,1
3501960,99999Ryō ,Coming soon,1
3509390,Gliss,Coming soon,1
3489150,Meow,Coming soon,1
2520860,Lawin Catch The Kim,Coming soon,1
2761640,Pirates Ludo: Kanhoji's Island,Coming soon,1
3310350,Tactical Battles,Coming soon,1
3310350,Tactical Battles,Coming soon,1
3331420,Population Quiz,Coming soon,1
3331420,Population Quiz,Coming soon,1
3380170,Bottomless Pitfall,Coming soon,1
3391690,LRUD,Coming soon,1
3433530,Billy's Tower,Coming soon,1
3504970,Starnova Aerospace,Coming soon,1
3474160,Venomous,Coming soon,1
2473400,Void Ninja,Coming soon,1
1098500,Astral Battlefield / 星界战场,Coming soon,1
2986680,Versus Purgatory,Coming soon,1
3332030,PY-ONEERS,Coming soon,1
3332030,PY-ONEERS,Coming soon,1
3427710,Pinchi-Stingi,Coming soon,1
3427470,Gem Tetris,Coming soon,1
3433280,Haunted Hues,Coming soon,1
3472080,Find The Keys,Coming soon,1
3360330,灵魂重生Reborn the Soul,Coming soon,1
3444360,极速滚珠,Coming soon,1
3501380,Knight Adventure,Coming soon,1
3477730,Night of the Witch's Invasion,Coming soon,1
3284340,The Madness of Billiards,Coming soon,1
3284340,The Madness of Billiards,Coming soon,1
2930990,Picscape,Coming soon,1
3470070,King of Escape Adventures,Coming soon,1
3511710,hgmGame-breakfast,Coming soon,1
