appid,name,release_date,copiesSold
3282210,The Fire Nobody Started,Coming soon,382
1129760,String Theory,Coming soon,376
2766890,Lazer Tag Arena,Coming soon,373
3319250,Shoes Store Simulator,Coming soon,370
3319250,Shoes Store Simulator,Coming soon,370
3316910,UNCURSED,Coming soon,370
3316910,UNCURSED,Coming soon,370
2966400,Silverpine Creek,Coming soon,362
3464640,SSR Summoners,Coming soon,353
3422860,Mage at Stake,Coming soon,351
2520360,Warm Monkey,Coming soon,349
3440750,Beats&Boss,Coming soon,349
2849190,I Want To Be Happy,Coming soon,334
3370350,Happy Furry Restaurant,Coming soon,334
955220,Train Metropolis,Coming soon,331
3410530,Dawn Awaits,Coming soon,329
3314780,TinyCraft Town,Coming soon,317
3314780,TinyCraft Town,Coming soon,317
3348300,Bullet Hell Game Anthology,Coming soon,315
2984860,Letters of Bernard Thorne,Coming soon,312
3453150,愉快でくだらないゲーム,Coming soon,309
3309240,Creeping Clark,Coming soon,308
3309240,Creeping Clark,Coming soon,308
3427410,Wet City,Coming soon,297
3029800,Beat Labs,Coming soon,297
3218120,風雨来記,Coming soon,292
3100190,Naughty Nate : Cosplay,Coming soon,290
2973960,SongBird: FlingAThing,Coming soon,288
3418910,Ginger,Coming soon,284
3308190,Ringer,Coming soon,277
3308190,Ringer,Coming soon,277
3389300,Peekaboo,To be announced,271
3398370,Obscura,Coming soon,269
2797080,Mercenary Squad Auto Chess,Coming soon,262
3391060,SurvAIval,Coming soon,262
3365450,A Regular Store,Coming soon,259
3384270,Deep Siege,Coming soon,259
618330,Within the Cosmos,Coming soon,255
3443030,"CLASS 3, THIRD GRADE",Coming soon,252
3460790,Hidden Skulls,Coming soon,250
3460790,Hidden Skulls,Coming soon,250
3427420,BDSM Clicker,Coming soon,249
2913300,CRYPTOFANTASY-甲賀の書-,Coming soon,246
2755520,Dark Sword: The Light of Ainn,Coming soon,242
3312100,Run Bird Run!,Coming soon,241
3312100,Run Bird Run!,Coming soon,241
3461300,I'm Truely a Good Guy!,Coming soon,239
2924760,DIROK,Coming soon,239
2826590,Sausage Cat,Coming soon,235
2916010,Rogue Conflict,Coming soon,234
3316380,Lilac 0,To be announced,230
3316380,Lilac 0,To be announced,230
2114330,Honeymancer,Coming soon,224
3347250,flood of zombies,Coming soon,222
2619040,SANDRIPPER,Coming soon,219
3015950,Kun’tewiktuk: A Mi’kmaw Adventure,Coming soon,215
2892060,Card Toons,Coming soon,212
3498070,Spring Adventure,Coming soon,210
3467620,No throwing,Coming soon,206
3430300,Tayutama: Kiss on my Deity,Coming soon,200
3326810,DOTS Survivors,Coming soon,199
3326810,DOTS Survivors,Coming soon,199
3223180,Foul Bliss,Coming soon,195
3470660,Survivor Manager,Coming soon,194
3460780,Hidden Cats: Japan,Coming soon,192
3460780,Hidden Cats: Japan,Coming soon,192
3190530,Fight For Mi,Coming soon,183
2743760,Real Anime Situation! DT,To be announced,176
2363310,Orderly Havoc,To be announced,176
3503510,Shtrek,Coming soon,174
3298720,Fish Shop Simulator,Coming soon,171
3298720,Fish Shop Simulator,Coming soon,171
2667740,YOUR HOUSE,Coming soon,169
3345760,Silent Anomalies,Coming soon,167
3289570,Scrapped,Coming soon,164
3289570,Scrapped,Coming soon,164
